Rank,Country,GDP_nominal_2022($),GDP_abbrev,GDP_growth(%),Population_2022,GDP_per_capita($),Share_of_World_GDP(%)
88,Tunisia,46664948952.0,$46.66 billion,2.52,12119334,3850.0,0.05
89,Libya,45752336036.0,$45.75 billion,-1.24,7223805,6334.0,0.05
90,Uganda,45559202049.0,$45.56 billion,4.65,47312719,963.0,0.05
91,Bahrain,44390820479.0,$44.39 billion,4.86,1533459,28948.0,0.04
92,Cameroon,44341646509.0,$44.34 billion,3.54,27632771,1605.0,0.04
93,Bolivia,43068885673.0,$43.07 billion,3.07,12077154,3566.0,0.04
94,Paraguay,41722295362.0,$41.72 billion,0.08,6760464,6172.0,0.04
95,Latvia,41153912663.0,$41.15 billion,1.98,1881063,21878.0,0.04
96,Nepal,40828247302.0,$40.83 billion,5.61,29715436,1374.0,0.04
97,Estonia,38100812959.0,$38.10 billion,-1.29,1350091,28221.0,0.04
98,El Salvador,32488720000.0,$32.49 billion,2.6,6280319,5173.0,0.03
99,Honduras,31717700115.0,$31.72 billion,4.0,10463872,3031.0,0.03
100,Papua New Guinea,30633444295.0,$30.63 billion,4.6,10203169,3002.0,0.03
101,Cambodia,29956769529.0,$29.96 billion,5.16,17201724,1741.0,0.03
102,Zambia,29784454056.0,$29.78 billion,4.74,20152938,1478.0,0.03
103,Cyprus,28439052741.0,$28.44 billion,5.63,1331370,21361.0,0.03
104,Trinidad and Tobago,27899082337.0,$27.90 billion,2.48,1495921,18650.0,0.03
105,Iceland,27841648044.0,$27.84 billion,6.44,380356,73199.0,0.03
106,Senegal,27684430244.0,$27.68 billion,4.15,17651103,1568.0,0.03
107,Georgia,24605375420.0,$24.61 billion,10.11,3794784,6484.0,0.02
108,Bosnia and Herzegovina,24527507288.0,$24.53 billion,3.9,3204802,7653.0,0.02
109,Macao,21979475561.0,$21.98 billion,-26.76,704356,31205.0,0.02
110,Guinea,21227749389.0,$21.23 billion,4.7,14055137,1510.0,0.02
111,Gabon,21071739228.0,$21.07 billion,3.04,2430747,8669.0,0.02
112,Zimbabwe,20678055598.0,$20.68 billion,3.4,16069056,1287.0,0.02
113,Botswana,20352322157.0,$20.35 billion,5.78,2439892,8341.0,0.02
114,Haiti,20253551885.0,$20.25 billion,-1.68,11503606,1761.0,0.02
115,Armenia,19502783988.0,$19.50 billion,12.6,2880874,6770.0,0.02
116,State of Palestine,19111900000.0,$19.11 billion,3.93,5305270,3602.0,0.02
117,Burkina Faso,18884619613.0,$18.88 billion,1.48,22509038,839.0,0.02
118,Albania,18882095518.0,$18.88 billion,4.84,2827608,6678.0,0.02
119,Mali,18827176532.0,$18.83 billion,3.69,23072640,816.0,0.02
120,Mozambique,17851491428.0,$17.85 billion,4.15,32656246,547.0,0.02
121,Malta,17765270015.0,$17.77 billion,6.85,528192,33634.0,0.02
122,Benin,17401746309.0,$17.40 billion,6.25,13759501,1265.0,0.02
123,Jamaica,17097760745.0,$17.10 billion,4.2,2839144,6022.0,0.02
124,Mongolia,16810883361.0,$16.81 billion,4.85,3386015,4965.0,0.02
125,Brunei,16681531646.0,$16.68 billion,-1.63,455370,36633.0,0.02
126,Laos,15724383783.0,$15.72 billion,2.71,7559007,2080.0,0.02
127,Nicaragua,15671583878.0,$15.67 billion,3.75,6730654,2328.0,0.02
128,Guyana,15357537068.0,$15.36 billion,57.8,821637,18691.0,0.02
129,Madagascar,14954967604.0,$14.95 billion,3.8,30437261,491.0,0.01
130,Congo,14615532210.0,$14.62 billion,1.55,6035104,2422.0,0.01
131,Moldova,14420947884.0,$14.42 billion,-5.95,3039985,4744.0,0.01
132,Niger,13969605583.0,$13.97 billion,11.5,25311973,552.0,0.01
133,North Macedonia,13563132057.0,$13.56 billion,2.15,1840233,7370.0,0.01
134,Rwanda,13312796765.0,$13.31 billion,8.16,13651030,975.0,0.01
135,Malawi,13164667627.0,$13.16 billion,0.92,20568728,640.0,0.01
136,Mauritius,12898307089.0,$12.90 billion,8.69,1276130,10107.0,0.01
137,Bahamas,12897400000.0,$12.90 billion,14.37,397538,32443.0,0.01
138,Chad,12704149842.0,$12.70 billion,2.24,18455316,688.0,0.01
139,Namibia,12607436976.0,$12.61 billion,4.56,2889662,4363.0,0.01
140,Equatorial Guinea,11813908448.0,$11.81 billion,3.15,1803545,6550.0,0.01
141,Kyrgyzstan,10930644915.0,$10.93 billion,7.02,6955788,1571.0,0.01
142,Tajikistan,10492123388.0,$10.49 billion,8.0,10182222,1030.0,0.01
143,Mauritania,10375460680.0,$10.38 billion,5.2,4875637,2128.0,0.01
144,Togo,8126439481.0,$8.13 billion,5.81,9089738,894.0,0.01
145,Maldives,6189865408.0,$6.19 billion,12.3,524106,11810.0,0.01
146,Montenegro,6095978868.0,$6.10 billion,6.09,614648,9918.0,0.01
147,Barbados,5637914515.0,$5.64 billion,10.0,282318,19970.0,0.01
148,Fiji,4943248200.0,$4.94 billion,16.12,919422,5376.0,0.0
149,Eswatini,4854167638.0,$4.85 billion,3.91,1218917,3982.0,0.0
150,Liberia,4001047150.0,$4.00 billion,4.81,5373294,745.0,0.0
151,Sierra Leone,3970343852.0,$3.97 billion,3.5,8276807,480.0,0.0
152,Suriname,3620655116.0,$3.62 billion,1.89,623164,5810.0,0.0
153,Andorra,3352032737.0,$3.35 billion,8.81,79705,42055.0,0.0
154,Timor-Leste,3163324631.0,$3.16 billion,-17.49,1369295,2310.0,0.0
155,Burundi,3073414678.0,$3.07 billion,1.85,13321097,231.0,0.0
156,Belize,2824081836.0,$2.82 billion,12.13,402733,7012.0,0.0
157,Lesotho,2553459763.0,$2.55 billion,0.59,2286110,1117.0,0.0
158,Central African Republic,2382618615.0,$2.38 billion,0.0,5098039,467.0,0.0
159,Cabo Verde,2314816792.0,$2.31 billion,17.71,519741,4454.0,0.0
160,Gambia,2273060863.0,$2.27 billion,4.92,2636470,862.0,0.0
161,Saint Lucia,2065027556.0,$2.07 billion,15.4,178781,11551.0,0.0
162,Antigua and Barbuda,1757603704.0,$1.76 billion,8.46,92840,18932.0,0.0
163,Guinea-Bissau,1633559092.0,$1.63 billion,3.5,2105529,776.0,0.0
164,Solomon Islands,1595710784.0,$1.60 billion,-4.06,781066,2043.0,0.0
165,Seychelles,1588406479.0,$1.59 billion,8.8,125522,12654.0,0.0
166,Grenada,1256413185.0,$1.26 billion,5.8,116913,10747.0,0.0
167,Comoros,1242519407.0,$1.24 billion,2.39,834188,1489.0,0.0
168,Vanuatu,983582865.0,$984 million,1.85,313046,3142.0,0.0
169,Saint Kitts & Nevis,961563259.0,$962 million,9.0,46709,20586.0,0.0
170,St. Vincent & Grenadines,948558503.0,$949 million,4.95,102046,9295.0,0.0
171,Samoa,832421565.0,$832 million,-6.02,215261,3867.0,0.0
